date,EQUITY__All_share_price_index
2012-01-02,6074.87
2012-01-03,6035.65
2012-01-04,5972.75
2012-01-05,5939.75
2012-01-06,5930.52
2012-01-09,5872.94
2012-01-10,5859.67
2012-01-11,5865.06
2012-01-12,5942.47
2012-01-13,5929.34
2012-01-17,5924.61
2012-01-18,5846.41
2012-01-19,5786.6
2012-01-20,5781.13
2012-01-23,5663.09
2012-01-24,5536.09
2012-01-25,5556.29
2012-01-26,5592.4
2012-01-27,5725.44
2012-01-30,5755.56
2012-01-31,5693.92
2012-02-01,5682.33
2012-02-02,5605.49
2012-02-03,5586.39
2012-02-06,5561.43
2012-02-08,5442.25
2012-02-09,5316.99
2012-02-13,5199.98
2012-02-14,5009.96
2012-02-15,5023.8
2012-02-16,5279.09
2012-02-17,5285.17
2012-02-21,5308.51
2012-02-22,5420.97
2012-02-23,5507.6
2012-02-24,5566.3
2012-02-27,5476.59
2012-02-28,5431.67
2012-02-29,5458.09
2012-03-01,5469.68
2012-03-02,5460.19
2012-03-05,5464.81
2012-03-06,5477.67
2012-03-08,5456.51
2012-03-09,5456.27
2012-03-12,5424.46
2012-03-13,5423.26
2012-03-14,5418.07
2012-03-15,5397.2
2012-03-16,5449.05
2012-03-19,5449.46
2012-03-20,5414.02
2012-03-21,5384.1
2012-03-22,5349.7
2012-03-23,5422.33
2012-03-26,5430.96
2012-03-27,5425.0
2012-03-28,5416.57
2012-03-29,5412.04
2012-03-30,5420.2
2012-04-02,5398.7
2012-04-03,5416.65
2012-04-04,5400.91
2012-04-05,5423.25
2012-04-09,5413.12
2012-04-10,5392.34
2012-04-11,5425.73
2012-04-16,5434.8
2012-04-17,5412.44
2012-04-18,5407.47
2012-04-19,5518.72
2012-04-20,5457.13
2012-04-23,5455.06
2012-04-24,5441.53
2012-04-25,5440.01
2012-04-26,5445.01
2012-04-27,5440.52
2012-04-30,5419.2
2012-05-02,5417.17
2012-05-03,5389.47
2012-05-04,5375.44
2012-05-08,5295.6
2012-05-09,5256.79
2012-05-10,5163.94
2012-05-11,5108.56
2012-05-14,5116.31
2012-05-15,5125.86
2012-05-16,5213.68
2012-05-17,5221.53
2012-05-18,5222.09
2012-05-21,5207.72
2012-05-22,5155.61
2012-05-23,5048.11
2012-05-24,5019.12
2012-05-25,5009.67
2012-05-28,4935.01
2012-05-29,4813.26
2012-05-30,4865.12
2012-05-31,4832.15
2012-06-01,4885.18
2012-06-05,4748.6
2012-06-06,4737.75
2012-06-07,4757.98
2012-06-08,4798.7
2012-06-11,4811.44
2012-06-12,4807.55
2012-06-13,4844.79
2012-06-14,4923.02
2012-06-15,4991.21
2012-06-18,4998.1
2012-06-19,5059.29
2012-06-20,5078.06
2012-06-21,5042.07
2012-06-22,5039.15
2012-06-25,4990.43
2012-06-26,4989.99
2012-06-27,4995.69
2012-06-28,4955.91
2012-06-29,4965.77
2012-07-02,4952.93
2012-07-04,4946.58
2012-07-05,4924.61
2012-07-06,4928.64
