date,EQUITY__Daily_Turnover
2012-01-02,419.55
2012-01-03,380.07
2012-01-04,459.65
2012-01-05,341.64
2012-01-06,336.75
2012-01-09,434.45
2012-01-10,543.3
2012-01-11,577.68
2012-01-12,1063.66
2012-01-13,1172.93
2012-01-17,1388.92
2012-01-18,1413.69
2012-01-19,952.45
2012-01-20,741.68
2012-01-23,827.22
2012-01-24,1282.73
2012-01-25,628.84
2012-01-26,2294.33
2012-01-27,1612.15
2012-01-30,1408.11
2012-01-31,831.02
2012-02-01,1337.82
2012-02-02,970.11
2012-02-03,419.93
2012-02-06,1345.35
2012-02-08,868.67
2012-02-09,862.56
2012-02-13,1461.69
2012-02-14,2441.53
2012-02-15,1421.32
2012-02-16,1155.48
2012-02-17,2168.17
2012-02-21,1103.5
2012-02-22,1524.96
2012-02-23,3712.7
2012-02-24,508.17
2012-02-27,616.06
2012-02-28,5859.19
2012-02-29,1679.46
2012-03-01,2596.84
2012-03-02,403.17
2012-03-05,1036.02
2012-03-06,441.43
2012-03-08,366.37
2012-03-09,381.34
2012-03-12,378.33
2012-03-13,522.39
2012-03-14,1210.06
2012-03-15,418.91
2012-03-16,15687.36
2012-03-19,3131.11
2012-03-20,627.42
2012-03-21,376.15
2012-03-22,354.06
2012-03-23,926.9
2012-03-26,1103.19
2012-03-27,578.61
2012-03-28,627.24
2012-03-29,1195.28
2012-03-30,789.16
2012-04-02,694.64
2012-04-03,1525.9
2012-04-04,1134.01
2012-04-05,634.93
2012-04-09,131.9
2012-04-10,202.79
2012-04-11,154.94
2012-04-16,206.14
2012-04-17,442.05
2012-04-18,249.91
2012-04-19,359.34
2012-04-20,621.95
2012-04-23,246.93
2012-04-24,288.58
2012-04-25,312.69
2012-04-26,391.41
2012-04-27,778.91
2012-04-30,631.08
2012-05-02,429.52
2012-05-03,470.21
2012-05-04,453.73
2012-05-08,429.83
2012-05-09,543.99
2012-05-10,403.13
2012-05-11,346.39
2012-05-14,286.44
2012-05-15,402.13
2012-05-16,542.47
2012-05-17,168.4
2012-05-18,157.7
2012-05-21,192.0
2012-05-22,296.28
2012-05-23,817.85
2012-05-24,296.45
2012-05-25,185.02
2012-05-28,395.73
2012-05-29,534.1
2012-05-30,673.7
2012-05-31,348.84
2012-06-01,313.12
2012-06-05,286.56
2012-06-06,246.37
2012-06-07,499.46
2012-06-08,309.34
2012-06-11,153.42
2012-06-12,242.42
2012-06-13,284.82
2012-06-14,427.82
2012-06-15,758.38
2012-06-18,295.36
2012-06-19,533.57
2012-06-20,616.62
2012-06-21,529.51
2012-06-22,674.04
2012-06-25,1519.6
2012-06-26,8083.14
2012-06-27,972.55
2012-06-28,797.24
2012-06-29,218.68
2012-07-02,91.64
2012-07-04,377.94
2012-07-05,332.71
2012-07-06,368.14
2012-07-09,125.12
2012-07-10,914.16
2012-07-11,269.02
2012-07-12,336.7
2012-07-13,299.1
2012-07-16,196.97
2012-07-17,225.08
2012-07-18,383.41
2012-07-19,666.32
2012-07-20,284.21
2012-07-23,321.81
2012-07-24,519.87
2012-07-25,275.72
2012-07-26,266.59
2012-07-27,425.69
2012-07-30,288.21
2012-07-31,1942.78
2012-08-02,754.47
2012-08-03,308.14
2012-08-06,353.73
2012-08-07,319.91
2012-08-08,159.64
2012-08-09,773.57
2012-08-10,168.88
2012-08-13,163.56
2012-08-14,535.42
2012-08-15,1036.91
2012-08-16,208.71
2012-08-17,216.69
2012-08-20,1763.32
2012-08-21,366.88
2012-08-22,782.95
2012-08-23,634.87
2012-08-24,265.71
2012-08-27,454.26
2012-08-28,3073.69
2012-08-29,444.12
2012-08-30,554.0
2012-09-03,981.66
2012-09-04,1240.02
2012-09-05,941.07
2012-09-06,1087.17
2012-09-07,1758.2
2012-09-10,1894.26
2012-09-11,1991.91
