date,EQUITY_S&P_SL20_Index,Gold_Price
2012-01-02,,
2012-01-03,,
2012-01-04,,
2012-01-05,,
2012-01-06,,
2012-01-09,,
2012-01-10,,
2012-01-11,,
2012-01-12,,
2012-01-13,,
2012-01-17,,
2012-01-18,,
2012-01-19,,
2012-01-20,,
2012-01-23,,
2012-01-24,,
2012-01-25,,
2012-01-26,,
2012-01-27,,
2012-01-30,,
2012-01-31,,
2012-02-01,,
2012-02-02,,
2012-02-03,,
2012-02-06,,
2012-02-08,,
2012-02-09,,
2012-02-13,,
2012-02-14,,
2012-02-15,,
2012-02-16,,
2012-02-17,,
2012-02-21,,
2012-02-22,,
2012-02-23,,
2012-02-24,,
2012-02-27,,
2012-02-28,,
2012-02-29,,
2012-03-01,,
2012-03-02,,
2012-03-05,,
2012-03-06,,
2012-03-08,,
2012-03-09,,
2012-03-12,,
2012-03-13,,
2012-03-14,,
2012-03-15,,
2012-03-16,,
2012-03-19,,
2012-03-20,,
2012-03-21,,
2012-03-22,,
2012-03-23,,
2012-03-26,,
2012-03-27,,
2012-03-28,,
2012-03-29,,
2012-03-30,,
2012-04-02,,
2012-04-03,,
2012-04-04,,
2012-04-05,,
2012-04-09,,
2012-04-10,,
2012-04-11,,
2012-04-16,,
2012-04-17,,
2012-04-18,,
2012-04-19,,
2012-04-20,,
2012-04-23,,
2012-04-24,,
2012-04-25,,
2012-04-26,,
2012-04-27,,
2012-04-30,,
2012-05-02,,
2012-05-03,,
2012-05-04,,
2012-05-08,,
2012-05-09,,
2012-05-10,,
2012-05-11,,
2012-05-14,,
2012-05-15,,
2012-05-16,,
2012-05-17,,
2012-05-18,,
2012-05-21,,
2012-05-22,,
2012-05-23,,
2012-05-24,,
2012-05-25,,
2012-05-28,,
2012-05-29,,
2012-05-30,,
2012-05-31,,
2012-06-01,,
2012-06-05,,
2012-06-06,,
2012-06-07,,
2012-06-08,,
2012-06-11,,
2012-06-12,,
2012-06-13,,
2012-06-14,,
2012-06-15,,
2012-06-18,,
2012-06-19,,
2012-06-20,,
2012-06-21,,
2012-06-22,,
2012-06-25,,
2012-06-26,,
2012-06-27,,
2012-06-28,,
2012-06-29,,
2012-07-02,,
2012-07-04,,
2012-07-05,,
2012-07-06,,
2012-07-09,,
2012-07-10,,
2012-07-11,,
2012-07-12,,
2012-07-13,,
2012-07-16,,
2012-07-17,,
2012-07-18,,
2012-07-19,,
2012-07-20,,
2012-07-23,,
2012-07-24,,
2012-07-25,,
2012-07-26,,
2012-07-27,,
2012-07-30,,
2012-07-31,,
2012-08-02,,
2012-08-03,,
2012-08-06,,
2012-08-07,,
2012-08-08,,
2012-08-09,,
2012-08-10,,
2012-08-13,,
2012-08-14,,
2012-08-15,,
2012-08-16,,
2012-08-17,,
2012-08-20,,
2012-08-21,,
2012-08-22,,
2012-08-23,,
2012-08-24,,
2012-08-27,,
2012-08-28,,
2012-08-29,,
2012-08-30,,
2012-09-03,,
2012-09-04,,
2012-09-05,,
2012-09-06,,
2012-09-07,,
2012-09-10,,
2012-09-11,,
2012-09-12,,
2012-09-13,,
2012-09-14,,
2012-09-17,,
2012-09-18,,
2012-09-19,,
2012-09-20,,
2012-09-21,,
2012-09-24,,
2012-09-25,,
2012-09-26,,
2012-09-27,,
2012-09-28,,
2012-10-01,,
2012-10-02,,
2012-10-03,,
2012-10-04,,
2012-10-05,,
2012-10-08,,
2012-10-09,,
2012-10-10,,
2012-10-11,,
2012-10-12,,
2012-10-15,,
2012-10-16,,
2012-10-17,,
2012-10-18,,
2012-10-19,,
2012-10-22,,
2012-10-23,,
2012-10-24,,
2012-10-25,,
2012-10-30,,
2012-10-31,,
2012-11-01,,
2012-11-02,,
2012-11-05,,
2012-11-06,,
2012-11-07,,
2012-11-08,,
2012-11-09,,
2012-11-12,,
2012-11-14,,
2012-11-15,,
2012-11-16,,
2012-11-19,,
2012-11-20,,
2012-11-21,,
2012-11-22,,
2012-11-23,,
2012-11-26,,
2012-11-28,,
2012-11-29,,
2012-11-30,,
2012-12-03,,
2012-12-04,,
2012-12-05,,
2012-12-06,,
2012-12-07,,
2012-12-10,,
2012-12-11,,
2012-12-12,,
2012-12-13,,
2012-12-14,,
2012-12-17,,
2012-12-18,,
2012-12-19,,
2012-12-20,,
2012-12-21,,
2012-12-24,,
2012-12-26,,
2012-12-28,,
2012-12-31,,
2013-01-01,,
2013-01-02,3090.88,
2013-01-03,3104.25,
2013-01-04,3121.71,
2013-01-07,3120.04,
2013-01-08,3123.97,
2013-01-09,3120.87,
2013-01-10,3121.53,
2013-01-11,3133.87,
2013-01-15,3134.32,
2013-01-16,3163.18,
2013-01-17,3184.61,
2013-01-18,3174.36,
2013-01-21,3174.11,
2013-01-22,3184.57,
2013-01-23,3191.8,
2013-01-24,3190.65,
2013-01-28,3194.72,
2013-01-29,3185.76,
2013-01-30,3193.63,
2013-01-31,3197.61,
2013-02-01,3196.81,
2013-02-05,3203.91,
2013-02-06,3217.39,
2013-02-07,3243.7,
2013-02-08,3271.25,
2013-02-11,3268.24,
2013-02-12,3257.98,
2013-02-13,3257.14,
2013-02-14,3269.5,
2013-02-15,3274.25,
2013-02-18,3249.28,
2013-02-19,3238.57,
2013-02-20,3224.85,
2013-02-21,3212.56,
2013-02-22,3223.28,
2013-02-26,3202.21,
2013-02-27,3210.82,
2013-02-28,3194.39,
2013-03-01,3206.85,
2013-03-04,3203.78,
2013-03-05,3208.92,
2013-03-06,3214.86,
