dataset,column,coverage_pct,max_consecutive_missing,status,critical
daily,usd_lkr,17.76,30,fail,True
daily,awcmr,3.25,121,fail,True
daily,aspi,39.87,2557,fail,True
daily,equity_turnover,39.97,2557,warn,False
daily,market_cap,39.97,2557,warn,False
daily,sl20_index,36.73,2923,warn,False
daily,gold_lkr,7.12,5885,warn,False
daily,tbill_primary,10.39,1826,warn,False
daily,tbill_secondary,1.75,6548,warn,False
daily,tbond_yield,1.75,6548,warn,False
daily,isb_yield,2.61,5849,warn,False
daily,gold_usd,52.39,1829,warn,False
daily,sdfr,27.03,5113,warn,False
daily,slfr,27.03,5113,warn,False
daily,opr,6.31,7186,warn,False
daily,policy_ceiling,35.37,395,fail,True
daily,us_10y_yield,52.36,1829,warn,False
daily,r_fx,11.46,5884,warn,False
daily,vol_fx_20d,14.82,5899,warn,False
daily,r_eq,29.7,2558,warn,False
daily,vol_eq_20d,36.26,2574,warn,False
daily,r_eq_real,8.79,5884,warn,False
daily,implied_fx,6.92,5885,warn,False
daily,gold_premium_pct,6.92,5885,warn,False
daily,turnover_ratio,39.86,2557,warn,False
daily,embi_spread_approx,2.53,5849,warn,False
daily,yield_curve_slope,1.55,6751,warn,False
daily,reer_index,76.19,1826,warn,False
daily,gross_reserves_usd_m,100.0,0,ok,True
daily,ncpi_yoy_pct,100.0,0,ok,True
daily,tourism_earnings_usd_m,80.95,1461,warn,False
daily,remittances_usd_m,80.95,1461,warn,False
daily,import_cover_months,100.0,0,ok,False
daily,net_usable_reserves_usd_m,100.0,0,ok,False
daily,net_import_cover_months,100.0,0,ok,False
daily,interbank_spread,3.09,395,warn,False
daily,real_policy_rate,35.37,395,warn,False
daily,reserve_slope_3m,99.62,29,ok,False
monthly,reer_index,76.19,60,warn,False
monthly,gross_reserves_usd_m,100.0,0,ok,True
monthly,ncpi_yoy_pct,100.0,0,ok,True
monthly,tourism_earnings_usd_m,80.95,48,warn,False
monthly,remittances_usd_m,80.95,48,warn,False
monthly,import_cover_months,100.0,0,ok,False
monthly,net_usable_reserves_usd_m,100.0,0,ok,False
monthly,net_import_cover_months,100.0,0,ok,False
monthly,usd_lkr,100.0,0,ok,False
monthly,aspi,61.51,84,warn,False
monthly,sl20_index,56.75,96,warn,False
monthly,gold_usd,76.19,60,warn,False
monthly,gold_lkr,11.51,193,warn,False
monthly,market_cap,61.51,84,warn,False
monthly,awcmr,98.81,3,fail,True
monthly,tbill_primary,76.19,60,warn,False
monthly,tbill_secondary,13.49,215,warn,False
monthly,tbond_yield,13.49,215,warn,False
monthly,isb_yield,18.65,192,warn,False
monthly,policy_ceiling,95.24,12,fail,True
monthly,sdfr,27.38,168,warn,False
monthly,slfr,27.38,168,warn,False
monthly,us_10y_yield,76.19,60,warn,False
monthly,gold_premium_pct,11.51,193,warn,False
monthly,interbank_spread,94.05,12,warn,False
monthly,real_policy_rate,95.24,12,warn,False
monthly,yield_curve_slope,11.9,221,warn,False
monthly,embi_spread_approx,18.65,192,warn,False
monthly,r_fx,23.41,193,warn,False
monthly,r_eq,61.51,84,warn,False
monthly,r_eq_real,18.65,193,warn,False
monthly,turnover_ratio,61.51,84,warn,False
monthly,equity_turnover,100.0,0,ok,False
monthly,vol_fx_20d,23.41,193,warn,False
monthly,vol_eq_20d,59.92,84,warn,False
