scenario_key,scenario,description,start_level,end_level,min_level,max_level,delta_vs_baseline_usd_m,delta_vs_baseline_pct
combined_upside,Combined Upside,Favorable conditions across the board,6531.0,6638.848910423434,6358.14423973026,6638.848910423434,179.20637324074505,2.774245977377321
export_shock_negative,Export Shock (-15%),Global demand contraction hits exports,6531.0,6631.653042790032,6358.14423973026,6631.653042790032,172.01050560734257,2.662848673393672
tourism_recovery,Tourism Recovery (+25%),Post-COVID tourism boom,6531.0,6509.913299439664,6358.14423973026,6509.913299439664,50.270762256975104,0.778228237361571
baseline,Baseline,Current trajectory continues,6531.0,6459.642537182689,6358.14423973026,6490.889944305372,0.0,0.0
oil_price_shock,Oil Price Shock,Import bill rises due to energy prices,6531.0,6404.933553995076,6358.14423973026,6485.075046515549,-54.70898318761283,-0.8469351496263078
imf_tranche_delay,IMF Tranche Delay,Expected disbursement delayed 6 months,6531.0,6308.7475163238,6308.7475163238,6474.9897021941615,-150.89502085888944,-2.3359654963926357
lkr_depreciation_10pct,LKR Depreciation 10%,Exchange rate depreciates 10% over horizon,6531.0,6248.228351447572,6248.228351447572,6468.591767587266,-211.41418573511692,-3.272846516168419
remittance_shock,Remittance Decline (-20%),Gulf employment crisis or hawala channel disruption,6531.0,6200.2025106960955,6200.2025106960955,6463.2414363815415,-259.4400264865935,-4.016321723581717
lkr_depreciation_20pct,LKR Depreciation 20%,Severe exchange rate pressure,6531.0,6036.814165712455,6036.814165712455,6446.29359086916,-422.82837147023383,-6.545693032336838
combined_adverse,Combined Adverse,Multiple simultaneous shocks (stress test),6531.0,5985.925643855974,5985.925643855974,6440.73842395411,-473.71689332671485,-7.333484640983276
