,Baseline,LKR Depreciation 10%,LKR Depreciation 20%,Export Shock (-15%),Remittance Decline (-20%),Tourism Recovery (+25%),Oil Price Shock,IMF Tranche Delay,Combined Adverse,Combined Upside
2025-04-01,6614.226954391108,6566.1796057414795,6518.132257091851,6542.155931416665,6554.167768579073,6638.250628715922,6542.155931416665,6530.144094254259,6494.108582767037,6662.274303040736
2025-05-01,6844.100716376977,6725.390409337936,6617.05460809117,6669.925695490519,6697.3338491082195,6907.3463095686,6669.925695490519,6643.165948484836,6566.77714713989,6973.185529208292
2025-06-01,6912.08975008372,6736.872023566106,6602.375816283132,6664.734790245467,6699.555991957851,7015.974484181409,6664.734790245467,6632.358153372659,6549.392981228745,7131.2459594388265
2025-07-01,7045.585803511024,6809.754634784936,6642.339372513381,6718.6275767436055,6762.19692215184,7194.963730304256,6718.6275767436055,6678.7670474725,6578.696684543447,7368.5281431255435
2025-08-01,7093.275137397857,6810.671367489115,6631.365467689222,6710.638416004522,6757.7647256307855,7287.372487861547,6710.638416004522,6668.6937515493555,6568.460843878173,7525.317593532251
2025-09-01,7170.087042012979,6842.858423527985,6647.713538266929,6732.940541517876,6784.359300867132,7408.630015756752,6732.940541517876,6687.6696087963655,6580.881072329858,7714.671519265304
2025-10-01,7205.045104088701,6845.353272007357,6646.0114919197895,6731.6297384422405,6784.3589098669345,7484.477335860681,6731.6297384422405,6685.882265370352,6580.257792981714,7860.411470883726
2025-11-01,7249.884814945079,6859.901577326546,6653.0553046789755,6741.3051944969975,6796.055753026695,7568.605624046811,6741.3051944969975,6694.073377653578,6585.559388960188,8016.199235258114
2025-12-01,7273.920704119183,6862.181207104346,6653.920338120135,6742.007607474955,6797.207375430011,7627.881120540496,6742.007607474955,6694.739608556288,6587.103242812269,8146.717824114384
2026-01-01,7301.368927982712,6870.089866097895,6658.461832517308,6747.653321079438,6803.750492408963,7688.012502621643,6747.653321079438,6699.757142923925,6590.925064069197,8277.71329960238
2026-02-01,7317.8131732078145,6872.461261131522,6660.468823163481,6749.436984354674,6805.650551655897,7733.480810445402,6749.436984354674,6701.60979358251,6593.288775478944,8392.56723876125
2026-03-01,7335.04575698039,6877.37635684895,6663.965282344776,6753.358053269029,6809.9448818732035,7777.070510894512,6753.358053269029,6705.285489181201,6596.522822272768,8503.952825934019
