Scenario,Description,Start (USD M),End (USD M),Change (USD M),Change (%),Avg Monthly,Min,Max
Combined Upside,Favorable conditions across the board,6531.0,8503.952825934019,1972.9528259340186,30.209046484979613,164.41273549450156,6662.274303040736,8503.952825934019
Tourism Recovery (+25%),Post-COVID tourism boom,6531.0,7777.070510894512,1246.0705108945122,19.07932186333658,103.83920924120935,6638.250628715922,7777.070510894512
Baseline,Current trajectory continues,6531.0,7335.04575698039,804.0457569803903,12.311219675094016,67.00381308169919,6614.226954391108,7335.04575698039
LKR Depreciation 10%,Exchange rate depreciates 10% over horizon,6531.0,6877.37635684895,346.3763568489503,5.303573064598841,28.864696404079194,6566.1796057414795,6877.37635684895
Remittance Decline (-20%),Gulf employment crisis or hawala channel disruption,6531.0,6809.9448818732035,278.9448818732035,4.271089907720158,23.245406822766956,6554.167768579073,6809.9448818732035
Export Shock (-15%),Global demand contraction hits exports,6531.0,6753.358053269029,222.35805326902937,3.4046555392593687,18.529837772419114,6542.155931416665,6753.358053269029
Oil Price Shock,Import bill rises due to energy prices,6531.0,6753.358053269029,222.35805326902937,3.4046555392593687,18.529837772419114,6542.155931416665,6753.358053269029
IMF Tranche Delay,Expected disbursement delayed 6 months,6531.0,6705.285489181201,174.28548918120123,2.66858810566837,14.523790765100102,6530.144094254259,6705.285489181201
LKR Depreciation 20%,Severe exchange rate pressure,6531.0,6663.965282344776,132.96528234477591,2.0359100037479085,11.080440195397992,6518.132257091851,6663.965282344776
Combined Adverse,Multiple simultaneous shocks (stress test),6531.0,6596.522822272768,65.52282227276828,1.0032586475695648,5.460235189397356,6494.108582767037,6596.522822272768
