date,usd_lkr
2025-01-01,293.0027
2025-01-02,293.4147
2025-01-03,293.2654
2025-01-06,293.5577
2025-01-07,294.9314
2025-01-08,296.1507
2025-01-09,296.0915
2025-01-10,295.5931
2025-01-15,294.5963
2025-01-16,295.221
2025-01-17,296.5135
2025-01-20,296.6599
2025-01-21,296.8545
2025-01-22,297.4952
2025-01-23,298.6584
2025-01-24,298.8605
2025-01-27,298.411
2025-01-28,298.4691
2025-01-29,297.899
2025-01-30,296.5464
2025-01-31,297.5797
2025-02-03,297.6367
2025-02-05,299.1413
2025-02-06,298.9288
2025-02-07,298.4908
2025-02-10,297.6589
2025-02-11,297.5176
2025-02-13,297.0173
2025-02-14,296.556
2025-02-17,295.5232
2025-02-18,295.3468
2025-02-19,295.8921
2025-02-20,296.6271
2025-02-21,296.4754
2025-02-24,295.8829
2025-02-25,295.749
2025-02-27,295.7164
2025-02-28,295.4981
2025-03-03,295.368
2025-03-04,295.347
2025-03-05,295.2061
2025-03-06,295.2296
2025-03-07,295.5809
2025-03-10,295.468
2025-03-11,295.4696
2025-03-12,295.5014
2025-03-14,295.4196
2025-03-17,295.8118
2025-03-18,296.2915
2025-03-19,296.04
2025-03-20,296.2133
2025-03-21,296.6034
2025-03-24,296.5901
2025-03-25,296.7237
2025-03-26,296.6087
2025-03-27,296.4517
2025-03-28,296.3472
2025-04-01,296.3198
2025-04-02,296.1931
2025-04-03,296.0638
2025-04-04,296.8985
2025-04-07,296.7552
2025-04-08,297.5237
2025-04-09,298.6051
2025-04-10,301.2049
2025-04-11,298.8721
2025-04-16,298.138
2025-04-17,298.6186
2025-04-21,299.0786
2025-04-22,299.2328
2025-04-23,299.7194
2025-04-24,299.8285
2025-04-25,300.0608
2025-04-28,299.6968
2025-04-29,299.6612
2025-04-30,299.6218
2025-05-02,299.5698
2025-05-05,299.478
2025-05-06,299.5246
2025-05-07,299.4952
2025-05-08,299.4917
2025-05-09,299.2985
2025-05-14,298.9213
2025-05-15,298.6897
2025-05-16,298.5101
2025-05-19,298.8165
2025-05-20,299.547
2025-05-21,300.565
2025-05-22,299.8469
2025-05-23,299.4119
2025-05-26,299.336
2025-05-27,299.569
2025-05-28,299.6855
2025-05-29,299.6736
2025-05-30,299.4393
2025-06-02,299.4211
2025-06-03,299.5516
2025-06-04,299.5189
2025-06-05,299.3602
2025-06-06,299.2745
2025-06-09,299.1426
2025-06-11,299.1087
2025-06-12,298.9831
2025-06-13,299.0231
2025-06-16,299.4377
2025-06-17,300.7861
2025-06-18,300.8465
2025-06-19,300.7094
2025-06-20,300.6511
2025-06-23,300.4493
2025-06-24,301.1214
2025-06-25,300.4861
2025-06-26,300.2152
2025-06-27,299.9734
2025-06-30,299.9674
2025-07-01,299.9523
2025-07-02,300.0253
2025-07-03,299.9991
2025-07-04,300.0015
2025-07-07,300.2223
2025-07-08,300.5654
2025-07-09,300.9139
2025-07-11,300.7097
2025-07-14,300.7031
2025-07-15,300.9579
2025-07-16,300.955
2025-07-17,301.3045
2025-07-18,301.5145
2025-07-21,301.5995
2025-07-22,301.8496
2025-07-23,301.7347
2025-07-24,301.7688
2025-07-25,301.8293
2025-07-28,301.8716
2025-07-29,301.9502
2025-07-30,302.042
2025-07-31,302.2079
2025-08-01,302.1856
2025-08-04,301.6126
2025-08-05,301.0039
2025-08-06,300.9112
2025-08-07,300.766
2025-08-11,300.8113
2025-08-12,300.6705
2025-08-13,301.017
2025-08-14,300.9333
2025-08-15,301.0335
2025-08-18,301.1502
2025-08-19,301.1936
2025-08-20,301.5355
2025-08-21,301.8375
2025-08-22,301.8311
2025-08-25,301.9848
2025-08-26,302.2301
2025-08-27,302.302
2025-08-28,302.3261
2025-08-29,302.4465
2025-09-01,302.2931
2025-09-02,301.9727
2025-09-03,302.136
2025-09-04,302.136
2025-09-08,302.0218
2025-09-09,302.0123
2025-09-10,301.9019
2025-09-11,302.0173
2025-09-12,301.9126
2025-09-15,301.8134
2025-09-16,302.1169
2025-09-17,302.1078
2025-09-18,301.9777
2025-09-19,302.0652
2025-09-22,302.3706
2025-09-23,302.4124
2025-09-24,302.5314
2025-09-25,302.5733
2025-09-26,302.5248
2025-09-29,302.5988
2025-09-30,302.6097
2025-10-01,302.6158
2025-10-02,302.5171
2025-10-03,302.5219
2025-10-07,302.4794
2025-10-08,302.4906
2025-10-09,302.618
2025-10-10,302.7339
2025-10-13,302.6837
2025-10-14,302.602
2025-10-15,302.7268
2025-10-16,302.9654
2025-10-17,302.9869
2025-10-21,303.0311
2025-10-22,303.1106
2025-10-23,303.2568
2025-10-24,303.6082
2025-10-27,303.774
2025-10-28,304.0209
2025-10-29,304.2329
2025-10-30,304.3424
2025-10-31,304.4223
2025-11-03,304.4913
2025-11-04,304.5367
2025-11-06,304.6238
2025-11-07,304.9541
2025-11-10,304.9548
2025-11-11,304.391
2025-11-12,304.2775
2025-11-13,304.5194
2025-11-14,305.2173
2025-11-17,306.3737
2025-11-18,307.8955
2025-11-19,307.7857
2025-11-20,308.4745
2025-11-21,308.2526
2025-11-24,307.9781
2025-11-25,307.8585
2025-11-26,307.9064
2025-11-27,308.075
2025-11-28,308.0262
2025-12-01,308.071
2025-12-02,308.5126
2025-12-03,308.8268
2025-12-05,308.8479
2025-12-08,308.6553
2025-12-09,308.6083
2025-12-10,308.6494
2025-12-11,308.748
2025-12-12,309.0255
2025-12-15,309.1486
2025-12-16,309.2557
2025-12-17,309.5379
2025-12-18,309.6458
2025-12-19,309.7162
2025-12-22,309.5238
2025-12-23,309.5453
2025-12-24,309.658
2025-12-26,309.7074
2025-12-29,309.7101
2025-12-30,309.8309
2025-12-31,309.9944
2026-01-01,309.9809
2026-01-02,309.5365
2026-01-05,309.7548
2026-01-06,309.8535
2026-01-07,310.026
2026-01-08,310.1421
2026-01-09,309.7183
2026-01-12,309.3752
2026-01-13,309.0476
2026-01-14,309.1127
2026-01-16,309.3336
2026-01-19,309.6601
2026-01-20,309.7416
2026-01-21,309.8507
2026-01-22,309.6825
2026-01-23,309.7973
2026-01-26,309.8033
2026-01-27,309.5593
2026-01-28,309.6089
2026-01-29,309.6525
2026-01-30,309.4993
2026-02-02,309.2494
2026-02-03,309.4545
2026-02-05,309.5079
2026-02-06,309.4614
2026-02-09,309.3805
2026-02-10,309.449
2026-02-11,309.4591
2026-02-12,309.3864
2026-02-13,309.3532
2026-02-16,309.2053
2026-02-17,309.2197
2026-02-18,309.3161
